lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
258.526,31.193,0.179,-0.038,0,0,0,2,1,"TXBL_GPS  ",0,1,0,0,0,
258.521,36.675,0.117,-0.049,0,0,0,2,1,"OKGM_GPS  ",0,1,0,0,0,
258.594,36.27,0.12,-0.048,0,0,0,2,1,"TXGU_GPS  ",0,1,0,0,0,
258.602,35.64,0.125,-0.047,0,0,0,2,1,"TXBR_GPS  ",0,1,0,0,0,
258.637,35.102,0.129,-0.046,0,0,0,2,1,"TXCD_GPS  ",0,1,0,0,0,
258.67,48.416,0.05,-0.043,0,0,0,2,1,"NDMB_GPS  ",0,1,0,0,0,
258.725,52.067,0.028,-0.044,0,0,0,2,1,"C271_GPS  ",0,1,0,0,0,
258.728,21.003,0.395,0.036,0,0,0,2,1,"UGTO_GPS  ",0,1,0,0,0,
258.803,30.726,0.182,-0.034,0,0,0,2,1,"TXOZ_GPS  ",0,1,0,0,0,
258.261,34.534,0.138,-0.048,0,0,0,2,1,"TXTU_GPS  ",0,1,0,0,0,
258.192,32.141,0.169,-0.044,0,0,0,2,1,"TXSO_GPS  ",0,1,0,0,0,
258.157,33.535,0.15,-0.047,0,0,0,2,1,"TXLU_GPS  ",0,1,0,0,0,
258.122,35.154,0.133,-0.05,0,0,0,2,1,"TXAM_GPS  ",0,1,0,0,0,
258.984,22.144,0.339,0.009,0,0,0,2,1,"USLP_GPS  ",0,1,0,0,0,
258.989,31.842,0.162,-0.035,0,0,0,2,1,"TXSC_GPS  ",0,1,0,0,0,
259.023,33.017,0.147,-0.038,0,0,0,2,1,"JTNT_GPS  ",0,1,0,0,0,
258.036,35.894,0.127,-0.052,0,0,0,2,1,"TXDU_GPS  ",0,1,0,0,0,
258.022,54.726,0.012,-0.049,0,0,0,2,1,"FLIN_GPS  ",0,1,0,0,0,
259.071,35.534,0.122,-0.043,0,0,0,2,1,"TXPM_GPS  ",0,1,0,0,0,
259.087,34.951,0.127,-0.042,0,0,0,2,1,"TXCL_GPS  ",0,1,0,0,0,
259.1,29.364,0.2,-0.027,0,0,0,2,1,"TXDR_GPS  ",0,1,0,0,0,
257.938,36.338,0.124,-0.053,0,0,0,2,1,"TXSF_GPS  ",0,1,0,0,0,
259.183,46.821,0.058,-0.042,0,0,0,2,1,"BSMK_GPS  ",0,1,0,0,0,
259.235,41.136,0.087,-0.045,0,0,0,2,1,"NENP_GPS  ",0,1,0,0,0,
257.82,37.775,0.115,-0.055,0,0,0,2,1,"GDAC_GPS  ",0,1,0,0,0,
257.768,31.132,0.192,-0.046,0,0,0,2,1,"TXMC_GPS  ",0,1,0,0,0,
259.347,40.087,0.092,-0.044,0,0,0,2,1,"RWDN_GPS  ",0,1,0,0,0,
257.686,31.873,0.18,-0.049,0,0,0,2,1,"TXO0_GPS  ",0,1,0,0,0,
257.671,35.688,0.132,-0.055,0,0,0,2,1,"TXCG_GPS  ",0,1,0,0,0,
259.422,40.199,0.091,-0.044,0,0,0,2,1,"NEMC_GPS  ",0,1,0,0,0,
257.642,31.423,0.189,-0.049,0,0,0,2,1,"TXCE_GPS  ",0,1,0,0,0,
257.616,52.842,0.025,-0.048,0,0,0,2,1,"C291_GPS  ",0,1,0,0,0,
259.471,34.724,0.125,-0.038,0,0,0,2,1,"TXME_GPS  ",0,1,0,0,0,
257.596,51.219,0.036,-0.047,0,0,0,2,1,"C289_GPS  ",0,1,0,0,0,
257.593,34.846,0.141,-0.055,0,0,0,2,1,"TXHR_GPS  ",0,1,0,0,0,
257.591,30.153,0.216,-0.047,0,0,0,2,1,"TXSN_GPS  ",0,1,0,0,0,
257.576,35.244,0.137,-0.056,0,0,0,2,1,"TXVG_GPS  ",0,1,0,0,0,
259.523,28.708,0.202,-0.021,0,0,0,2,1,"TXEP_GPS  ",0,1,0,0,0,
259.527,31.414,0.161,-0.029,0,0,0,2,1,"TXSA_GPS  ",0,1,0,0,0,
257.522,-74.43,-0.011,0.025,0,0,0,4,1,"BAC0_GPS  ",0,1,0,0,0,
259.587,20.591,0.345,0.038,0,0,0,2,1,"UQRO_GPS  ",0,1,0,0,0,
257.488,34.825,0.142,-0.056,0,0,0,2,1,"SUM0_GPS  ",0,1,0,0,0,
257.461,36.078,0.131,-0.057,0,0,0,2,1,"TXDL_GPS  ",0,1,0,0,0,
259.622,35.92,0.115,-0.039,0,0,0,2,1,"TXCI_GPS  ",0,1,0,0,0,
257.456,32.308,0.176,-0.053,0,0,0,2,1,"TXAD_GPS  ",0,1,0,0,0,
259.687,25.716,0.249,-0.011,0,0,0,2,1,"MTY2_GPS  ",0,1,0,0,0,
259.71,34.012,0.13,-0.035,0,0,0,2,1,"TXPD_GPS  ",0,1,0,0,0,
259.722,34.46,0.126,-0.036,0,0,0,2,1,"TXCH_GPS  ",0,1,0,0,0,
257.313,38.071,0.117,-0.059,0,0,0,2,1,"P040_GPS  ",0,1,0,0,0,
259.781,35.226,0.119,-0.037,0,0,0,2,1,"TXSH_GPS  ",0,1,0,0,0,
259.798,34.85,0.122,-0.036,0,0,0,2,1,"TXWL_GPS  ",0,1,0,0,0,
257.133,30.894,0.209,-0.054,0,0,0,2,1,"TXFS_GPS  ",0,1,0,0,0,
257.106,31.558,0.195,-0.056,0,0,0,2,1,"TXMH_GPS  ",0,1,0,0,0,
260.032,31.761,0.15,-0.026,0,0,0,2,1,"TXBI_GPS  ",0,1,0,0,0,
257.023,49.679,0.048,-0.049,0,0,0,2,1,"C285_GPS  ",0,1,0,0,0,
260.089,49.886,0.038,-0.039,0,0,0,2,1,"C269_GPS  ",0,1,0,0,0,
260.095,40.306,0.086,-0.04,0,0,0,2,1,"NEAP_GPS  ",0,1,0,0,0,
260.15,28.535,0.192,-0.015,0,0,0,2,1,"TXCS_GPS  ",0,1,0,0,0,
260.15,28.942,0.186,-0.016,0,0,0,2,1,"TXLP_GPS  ",0,1,0,0,0,
260.173,29.201,0.182,-0.017,0,0,0,2,1,"TXUV_GPS  ",0,1,0,0,0,
256.891,31.843,0.194,-0.059,0,0,0,2,1,"TXKM_GPS  ",0,1,0,0,0,
260.199,30.479,0.164,-0.021,0,0,0,2,1,"JCT1_GPS  ",0,1,0,0,0,
260.223,30.5,0.164,-0.021,0,0,0,2,1,"TXJN_GPS  ",0,1,0,0,0,
256.846,36.448,0.133,-0.064,0,0,0,2,1,"P039_GPS  ",0,1,0,0,0,
260.239,29.739,0.173,-0.018,0,0,0,2,1,"TXLE_GPS  ",0,1,0,0,0,
260.243,32.503,0.14,-0.027,0,0,0,2,1,"TXAB_GPS  ",0,1,0,0,0,
260.258,30.493,0.163,-0.021,0,0,0,2,1,"LCJU_GPS  ",0,1,0,0,0,
256.778,40.172,0.11,-0.061,0,0,0,2,1,"P044_GPS  ",0,1,0,0,0,
256.726,46.905,0.068,-0.05,0,0,0,2,1,"MDR0_GPS  ",0,1,0,0,0,
256.671,42.739,0.096,-0.057,0,0,0,2,1,"WHN9_GPS  ",0,1,0,0,0,
256.593,34.147,0.16,-0.066,0,0,0,2,1,"P038_GPS  ",0,1,0,0,0,
268.541,49.292,0.022,-0.023,0,0,0,2,1,"C123_GPS  ",0,1,0,0,0,
248.537,36.909,0.314,-0.262,0,0,0,2,1,"AZPG_GPS  ",0,1,0,0,0,
248.521,44.83,0.518,0.388,0,0,0.008,2,1,"N144_GPS  ",0,1,0,0,0,
248.497,36.866,0.317,-0.265,0,0,0.066,2,1,"L404_GPS  ",0,1,0,0,0,
248.486,44.598,0.751,0.448,0,0,-0.013,2,1,"K092_GPS  ",0,1,0,0,0,
268.595,31.561,0.08,-0.004,0,0,0,2,1,"MSNA_GPS  ",0,1,0,0,0,
248.485,32.984,0.438,-0.363,0,0,0.019,2,1,"AZCL_GPS  ",0,1,0,0,0,
268.599,39.695,0.055,-0.016,0,0,0,2,1,"MOHL_GPS  ",0,1,0,0,0,
248.474,44.185,0.838,0.758,0,0,0,2,1,"BBID_GPS  ",0,1,0,0,0,
248.472,40.413,0.934,-0.151,0,0,0,2,1,"DCUT_GPS  ",0,1,0,0,0,
248.47,43.482,-0.226,-0.573,0,0,0,164,1,"P359_GPS  ",0,1,0,0,0,
248.462,40.028,1.128,-0.399,0,0,0,2,1,"POLE_GPS  ",0,1,0,0,0,
248.462,40.741,0.836,-0.206,0,0,0,2,1,"KIMB_GPS  ",0,1,0,0,0,
268.623,39.938,0.054,-0.016,0,0,0,2,1,"SIKA_GPS  ",0,1,0,0,0,
268.638,42.878,0.044,-0.019,0,0,0,2,1,"IAEL_GPS  ",0,1,0,0,0,
248.435,41.607,1.196,-0.388,0,0,0,2,1,"HWUT_GPS  ",0,1,0,0,0,
268.657,37.97,0.06,-0.014,0,0,0,2,1,"MOST_GPS  ",0,1,0,0,0,
248.416,42.654,-0.872,0.429,0,0,0.047,161,1,"SSPR_GPS  ",0,1,0,0,0,
248.416,42.686,-0.884,0.472,0,0,0,161,1,"IDSS_GPS  ",0,1,0,0,0,
248.408,44.902,0.445,0.462,0,0,0.002,2,1,"WFRA_GPS  ",0,1,0,0,0,
248.38,40.584,1.012,-0.199,0,0,0,2,1,"ALUT_GPS  ",0,1,0,0,0,
268.709,43.497,0.042,-0.019,0,0,0,2,1,"NALB_GPS  ",0,1,0,0,0,
248.37,45.597,0.163,-0.142,0,0,0,102,1,"NOMT_GPS  ",0,1,0,0,0,
248.366,40.016,1.363,-0.449,0,0,0,2,1,"MPUT_GPS  ",0,1,0,0,0,
248.365,35.215,0.33,-0.298,0,0,-0.03,2,1,"FLAG_GPS  ",0,1,0,0,0,
268.719,-79.627,-0.009,0.018,0,0,0,4,1,"W06A_GPS  ",0,1,0,0,0,
248.351,35.202,0.331,-0.299,0,0,0,2,1,"FLAG_GPS  ",0,1,0,0,0,
248.349,39.597,0.978,-0.321,0,0,0,2,1,"P109_GPS  ",0,1,0,0,0,
248.343,35.177,0.332,-0.3,0,0,0,2,1,"AZFL_GPS  ",0,1,0,0,0,
268.743,42.104,0.046,-0.018,0,0,0,2,1,"IAAN_GPS  ",0,1,0,0,0,
248.334,41.046,1.036,-0.286,0,0,0,2,1,"MOUT_GPS  ",0,1,0,0,0,
268.749,47.303,0.029,-0.022,0,0,0,2,1,"SLVB_GPS  ",0,1,0,0,0,
248.321,45.232,0.167,-0.129,0,0,-0.052,102,1,"H146_GPS  ",0,1,0,0,0,
268.775,43.778,0.041,-0.019,0,0,0,2,1,"LCRS_GPS  ",0,1,0,0,0,
