interiorLon,interiorLat,eulerLon,eulerLonSig,eulerLat,eulerLatSig,rotationRate,rotationRateSig,rotationInfo,aprioriTog,other1,other2,other3,other4,other5,other6,name,
113.861,59.314,121.805,0.147,71.298,0.043,0.225,0,0,0,0,0,0,0,0,0,"Eurasia                 ",
270.568,47.697,97.427,0.261,-33.612,0.236,0.02,0,0,0,0,0,0,0,0,0,"NorthAmerica            ",
348.426,19.64,81.206,0.473,80.869,0.048,0.216,0,0,0,0,0,0,0,0,0,"Nubia                   ",
246.368,-84.973,125.508,0.186,51.407,0.22,0.235,0.001,0,0,0,0,0,0,0,0,"Antartica               ",
33.393,40.258,34.783,0.038,37.981,0.022,1.673,0.019,0,0,0,0,0,0,0,0,"Aktug13_1               ",
28.235,40.219,44.781,3.368,44.832,1.936,0.612,0.115,0,0,0,0,0,0,0,0,"Marmara_sliver          ",
25.421,39.693,33.708,0.205,40.577,0.066,1.822,0.055,0,0,0,0,0,0,0,0,"Marmara                 ",
32.886,42.21,66.52,1.206,67.679,0.259,0.352,0.005,0,0,0,0,0,0,0,0,"BlackSea                ",
34.65,39.336,35.672,0.055,37.856,0.086,0.972,0.043,0,0,0,0,0,0,0,0,"Aktug13_2               ",
35.695,37.659,35.242,0.061,39.85,0.07,1.128,0.034,0,0,0,0,0,0,0,0,"Aktug13_3               ",
39.336,38.978,38.56,0.2,38.067,0.18,1.464,0.252,0,0,0,0,0,0,0,0,"Ovacik                  ",
42.844,38.951,42.011,0.482,44.699,1.389,1.223,0.289,0,0,0,0,0,0,0,0,"South_of_Ararat         ",
42.788,38.35,228.998,3.016,-29.902,4.146,0.826,0.373,0,0,0,0,0,0,0,0,"TIP_iran                ",
141.012,44.169,321.735,0.136,-42.437,0.215,1.839,0.181,0,0,0,0,0,0,0,0,"kuril-north             ",
139.026,36.757,327.984,0.997,-37.072,0.14,0.785,0.083,0,0,0,0,0,0,0,0,"IMP                     ",
49.54,37.223,232.919,0.235,-28.072,0.836,0.903,0.091,0,0,0,0,0,0,0,0,"Alborz                  ",
48.997,34.862,242.273,1.596,13.483,5.95,0.199,0.017,0,0,0,0,0,0,0,0,"Central_Iran            ",
51.959,38.196,225.777,2.614,37.575,15.283,0.131,0.009,0,0,0,0,0,0,0,0,"SouthCaspian            ",
136.946,-32.867,52.586,0.079,27.151,0.043,0.746,0,0,0,0,0,0,0,0,0,"Austrailia              ",
170.057,-43.841,56.286,10.473,-21.849,11.015,0.504,0.002,0,0,0,0,0,0,0,0,"ESIL                    ",
172.041,-42.995,29.471,8.606,19.631,8.077,0.813,0.197,0,0,0,0,0,0,0,0,"POFZ                    ",
173.175,-42.371,157.161,0.974,-44.975,0.089,2.737,0.165,0,0,0,0,0,0,0,0,"HOPE                    ",
172.665,-42.359,143.204,7.059,-41.241,1.235,1.609,0.368,0,0,0,0,0,0,0,0,"AWAT                    ",
167.518,-44.538,15.01,3.945,40.179,1.153,1.746,0.269,0,0,0,0,0,0,0,0,"FORE                    ",
166.607,-45.742,0.131,0.943,39.215,0.603,2.91,0.265,0,0,0,0,0,0,0,0,"FIOR                    ",
280.505,14.198,217.462,4.926,75.408,0.312,0.177,0.001,0,0,0,0,0,0,0,0,"Caribbean               ",
285.162,7.032,107.551,0.138,-4.066,0.232,1.33,0.058,0,0,0,0,0,0,0,0,"ANDE                    ",
55.9,30.91,35.258,31.761,66.545,21.684,0.283,0.163,0,0,0,0,0,0,0,0,"KAB_iran                ",
54.431,31.107,28.169,35.311,68.422,17.734,0.267,0.122,0,0,0,0,0,0,0,0,"ADB_iran                ",
56.104,34.14,237.147,0.048,-25.391,0.29,1.096,0.036,0,0,0,0,0,0,0,0,"NDR_iran                ",
126.825,-8.541,99.334,4.328,10.192,1.997,1.147,0.12,0,0,0,0,0,0,0,0,"Timor                   ",
173.148,-41.861,3.7,2.422,40.956,0.355,4.116,0.906,0,0,0,0,0,0,0,0,"BLEN                    ",
21.1,38.549,190.241,3.351,-34.748,1.39,1.076,0.333,0,0,0,0,0,0,0,0,"Akarnania               ",
21.547,39.582,198.572,0.093,-35.158,0.112,2.16,0.051,0,0,0,0,0,0,0,0,"NorthernGreece          ",
24.95,37.334,139.61,8.505,-6.856,6.465,0.339,0.028,0,0,0,0,0,0,0,0,"Aegean                  ",
22.321,38.562,201.415,0.039,-38.004,0.017,11.377,0.266,0,0,0,0,0,0,0,0,"CentralGreece           ",
44.227,40.352,45.366,0.675,47.898,3.665,1.31,0.633,0,0,0,0,0,0,0,0,"Aragats                 ",
42.639,40.581,42.552,2.672,64.767,47.515,0.375,0.697,0,0,0,0,0,0,0,0,"Kars                    ",
47.407,40.593,46.278,0.119,46.732,0.356,1.801,0.109,0,0,0,0,0,0,0,0,"Azerban_new1            ",
46.662,40.209,44.666,0.201,47.293,1.071,1.706,0.282,0,0,0,0,0,0,0,0,"Caucasus                ",
49.659,39.325,227.201,1.209,1.764,13.037,0.222,0.062,0,0,0,0,0,0,0,0,"Azerban_new2            ",
32.267,36.93,34.973,0.217,38.961,0.176,1.854,0.142,0,0,0,0,0,0,0,0,"NorthCyprus             ",
29.39,38.57,40.743,3.622,36.164,0.958,0.799,0.262,0,0,0,0,0,0,0,0,"VernantAnatolia         ",
109.042,38.071,122.727,1.374,64.006,1.315,0.368,0.018,0,0,0,0,0,0,0,0,"run_away_02             ",
96.863,42.091,267.496,1.243,75.124,1.971,0.154,0.003,0,0,0,0,0,0,0,0,"NW_china                ",
103.878,39.08,114.558,4.749,72.515,4.902,0.283,0.036,0,0,0,0,0,0,0,0,"northern                ",
103.658,36.154,281.939,0.168,-14.211,1.534,0.572,0.038,0,0,0,0,0,0,0,0,"south_of_haiyuan        ",
189.641,60.075,9.256,1.208,-59.472,0.539,0.212,0.02,0,0,0,0,0,0,0,0,"Bering                  ",
173.796,52.266,355.162,2.167,-48.775,0.958,0.664,0.103,0,0,0,0,0,0,0,0,"Aleutian2               ",
202.598,55.634,201.988,0.496,53.77,0.344,0.748,0.041,0,0,0,0,0,0,0,0,"Aleutian1               ",
91.744,47.753,271.878,0.102,-46.464,0.244,4.732,0.644,0,0,0,0,0,0,0,0,"Mongolia_Altai          ",
102.094,47.133,110.488,0.799,61.607,0.689,0.426,0.027,0,0,0,0,0,0,0,0,"Mongolia                ",
33.622,34.958,35.136,0.089,38.199,0.097,2.138,0.07,0,0,0,0,0,0,0,0,"Cyprus                  ",
93.373,22.242,281.445,0.297,-18.397,0.27,1.358,0.056,0,0,0,0,0,0,0,0,"Indoburman              ",
92.976,9.266,276.499,0.146,-1.677,0.146,2.197,0.107,0,0,0,0,0,0,0,0,"Burma                   ",
90.915,26.043,290.234,0.279,1.246,0.425,0.62,0.008,0,0,0,0,0,0,0,0,"Dauky                   ",
76.456,15.794,42.405,0.124,44.367,0.043,0.666,0.002,0,0,0,0,0,0,0,0,"India                   ",
305.4,-10.974,125.17,0.137,-15.075,0.237,0.151,0.001,0,0,0,0,0,0,0,0,"SouthAmerica            ",
291.668,-24.448,123.33,0.441,8.886,0.671,0.262,0.013,0,0,0,0,0,0,0,0,"Chile                   ",
13.279,43.402,189.605,0.519,-23.287,3.84,0.552,0.101,0,0,0,0,0,0,0,0,"urbino                  ",
15.949,43.073,23.23,0.293,64.549,0.352,0.517,0.009,0,0,0,0,0,0,0,0,"NorthAdria              ",
11.655,44.482,16.201,1.118,56.388,1.993,0.91,0.152,0,0,0,0,0,0,0,0,"bologna                 ",
13.013,42.818,15.546,0.298,51.55,0.688,1.099,0.088,0,0,0,0,0,0,0,0,"Central_Italy2          ",
12.179,43.768,17.093,0.969,59.677,2.259,0.674,0.091,0,0,0,0,0,0,0,0,"Central_italy1          ",
17.897,41.183,188.583,0.735,34.332,5.651,0.199,0.005,0,0,0,0,0,0,0,0,"Apulia                  ",
19.644,40.429,21.827,0.127,44.085,0.224,1.85,0.115,0,0,0,0,0,0,0,0,"Epiro                   ",
136.25,-0.98,119.408,0.302,-14.352,0.21,1.797,0.028,0,0,0,0,0,0,0,0,"INDO_new                ",
201.6,8.229,108.609,0.106,-49.689,0.037,0.776,0.001,0,0,0,0,0,0,0,0,"PACIFIC                 ",
176.723,-40.988,16.929,7.689,27.723,6.756,1.189,0.514,0,0,0,0,0,0,0,0,"WAIR                    ",
174.347,-42.418,9.891,3.315,31.182,2.839,1.767,0.398,0,0,0,0,0,0,0,0,"PEGA                    ",
204.436,59.977,209.796,0.146,60.232,0.077,1.436,0.034,0,0,0,0,0,0,0,0,"Denali                  ",
138.357,-3.454,131.533,0.155,-0.391,0.086,5.46,0.12,0,0,0,0,0,0,0,0,"MO_indo                 ",
142.557,-3.774,101.701,4.002,24.639,2.431,0.935,0.057,0,0,0,0,0,0,0,0,"PNG                     ",
173.363,-40.472,28.075,3.822,37.102,1,1.241,0.136,0,0,0,0,0,0,0,0,"WNIS                    ",
107.213,52.681,111.311,1.189,58.883,1.403,0.653,0.153,0,0,0,0,0,0,0,0,"Bakail                  ",
122.412,-1.911,106.303,1.465,-2.365,0.386,1.099,0.094,0,0,0,0,0,0,0,0,"East_sula               ",
126.762,-5.057,126.439,0.044,-2.911,0.038,9.365,0.17,0,0,0,0,0,0,0,0,"BandaSea                ",
269.481,13.289,265.665,0.135,20.496,0.756,0.622,0.053,0,0,0,0,0,0,0,0,"CA_forearc              ",
275.497,9.612,274.709,0.246,12.293,0.426,6.094,0.805,0,0,0,0,0,0,0,0,"CCRDB                   ",
279.633,7.685,273.422,4.327,24.951,10.298,0.826,0.494,0,0,0,0,0,0,0,0,"bennett1                ",
281.428,8.538,114.023,11.42,18.717,21.825,0.442,0.321,0,0,0,0,0,0,0,0,"bennett2                ",
279.921,9.643,108.496,3.73,16.263,8.594,0.473,0.15,0,0,0,0,0,0,0,0,"Panama                  ",
215.469,59.958,218.126,0.633,58.729,0.477,2.584,0.78,0,0,0,0,0,0,0,0,"BeringDefm              ",
217.942,60.246,41.481,0.439,-61.383,0.097,4.528,0.477,0,0,0,0,0,0,0,0,"Yakataga                ",
198.614,67.824,240.476,13.888,77.939,1.508,0.142,0.036,0,0,0,0,0,0,0,0,"NorthernAlaska          ",
292.602,9.943,286.175,0.86,13.423,0.914,0.493,0.1,0,0,0,0,0,0,0,0,"Gunare                  ",
96.638,46.551,273.868,0.687,-32.198,2.867,0.484,0.084,0,0,0,0,0,0,0,0,"Bulnay                  ",
290.172,10.105,111.019,0.285,-8.91,0.247,2.972,0.596,0,0,0,0,0,0,0,0,"Valera                  ",
288.294,8.554,110.796,1.632,-7.631,1.263,1.078,0.945,0,0,0,0,0,0,0,0,"Maracaibo               ",
