lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
258.526,31.193,-0.03,1.067,0.42,0.422,0,2,1,"TXBL_GPS  ",0,1,0,0,0,
258.521,36.675,0.931,0.639,0.395,0.434,0,2,1,"OKGM_GPS  ",0,1,0,0,0,
258.594,36.27,1.453,-0.555,1.779,1.106,0,2,1,"TXGU_GPS  ",0,1,0,0,0,
258.602,35.64,-0.558,2.175,0.599,0.472,0,2,1,"TXBR_GPS  ",0,1,0,0,0,
258.637,35.102,-0.034,1.497,0.908,0.715,0,2,1,"TXCD_GPS  ",0,1,0,0,0,
258.67,48.416,-0.213,0.127,0.34,0.314,0,2,1,"NDMB_GPS  ",0,1,0,0,0,
258.725,52.067,0.512,-1.196,0.269,0.593,0,2,1,"C271_GPS  ",0,1,0,0,0,
258.728,21.003,0.284,2.705,0.757,0.642,0,2,1,"UGTO_GPS  ",0,1,0,0,0,
258.803,30.726,0.51,0.444,1.009,0.894,0,2,1,"TXOZ_GPS  ",0,1,0,0,0,
258.261,34.534,1.101,1.114,0.828,0.625,0,2,1,"TXTU_GPS  ",0,1,0,0,0,
258.192,32.141,-1.727,0.803,0.918,0.845,0,2,1,"TXSO_GPS  ",0,1,0,0,0,
258.157,33.535,0.23,1.347,0.208,0.199,0,2,1,"TXLU_GPS  ",0,1,0,0,0,
258.122,35.154,-0.186,1.689,0.194,0.181,0,2,1,"TXAM_GPS  ",0,1,0,0,0,
258.984,22.144,0.249,3.673,0.816,0.787,0,2,1,"USLP_GPS  ",0,1,0,0,0,
258.989,31.842,3.138,-0.872,1.011,0.986,0,2,1,"TXSC_GPS  ",0,1,0,0,0,
259.023,33.017,-0.123,1.244,0.219,0.228,0,2,1,"JTNT_GPS  ",0,1,0,0,0,
258.036,35.894,0.276,1.574,0.637,0.714,0,2,1,"TXDU_GPS  ",0,1,0,0,0,
258.022,54.726,0.36,-0.604,0.331,0.361,0,2,1,"FLIN_GPS  ",0,1,0,0,0,
259.071,35.534,-0.281,0.459,0.869,0.729,0,2,1,"TXPM_GPS  ",0,1,0,0,0,
259.087,34.951,-0.274,3.024,0.521,0.54,0,2,1,"TXCL_GPS  ",0,1,0,0,0,
259.1,29.364,-0.299,0.961,0.382,0.278,0,2,1,"TXDR_GPS  ",0,1,0,0,0,
257.938,36.338,0.291,1.211,1.06,0.695,0,2,1,"TXSF_GPS  ",0,1,0,0,0,
259.183,46.821,0.66,0.726,0.279,0.294,0,2,1,"BSMK_GPS  ",0,1,0,0,0,
259.235,41.136,-0.016,1.229,0.466,0.409,0,2,1,"NENP_GPS  ",0,1,0,0,0,
257.82,37.775,0.078,1.989,0.2,0.197,0,2,1,"GDAC_GPS  ",0,1,0,0,0,
257.768,31.132,1.316,0.729,1.077,0.84,0,2,1,"TXMC_GPS  ",0,1,0,0,0,
259.347,40.087,0.073,1.524,0.37,0.359,0,2,1,"RWDN_GPS  ",0,1,0,0,0,
257.686,31.873,-0.239,0.616,0.278,0.265,0,2,1,"TXO0_GPS  ",0,1,0,0,0,
257.671,35.688,0.448,1.658,0.506,0.484,0,2,1,"TXCG_GPS  ",0,1,0,0,0,
259.422,40.199,-0.992,1.636,0.992,0.707,0,2,1,"NEMC_GPS  ",0,1,0,0,0,
257.642,31.423,-0.09,1.182,1.016,0.734,0,2,1,"TXCE_GPS  ",0,1,0,0,0,
257.616,52.842,0.495,-0.665,0.251,0.536,0,2,1,"C291_GPS  ",0,1,0,0,0,
259.471,34.724,-0.417,1.591,0.649,0.497,0,2,1,"TXME_GPS  ",0,1,0,0,0,
257.596,51.219,0.467,-0.549,0.833,0.45,0,2,1,"C289_GPS  ",0,1,0,0,0,
257.593,34.846,-1.215,0.733,0.855,0.651,0,2,1,"TXHR_GPS  ",0,1,0,0,0,
257.591,30.153,-0.084,1.59,0.353,0.265,0,2,1,"TXSN_GPS  ",0,1,0,0,0,
257.576,35.244,-0.105,1.226,0.582,1.363,0,2,1,"TXVG_GPS  ",0,1,0,0,0,
259.523,28.708,0.186,1.861,0.869,0.861,0,2,1,"TXEP_GPS  ",0,1,0,0,0,
259.527,31.414,-0.37,1.842,0.252,0.326,0,2,1,"TXSA_GPS  ",0,1,0,0,0,
257.522,-74.43,-4.415,15.177,1.843,1.965,0,4,1,"BAC0_GPS  ",0,1,0,0,0,
259.587,20.591,2.192,2.482,0.708,0.649,0,2,1,"UQRO_GPS  ",0,1,0,0,0,
257.488,34.825,-0.296,1.507,0.25,0.271,0,2,1,"SUM0_GPS  ",0,1,0,0,0,
257.461,36.078,-0.455,1.289,0.755,0.874,0,2,1,"TXDL_GPS  ",0,1,0,0,0,
259.622,35.92,0.864,1.193,1.13,0.972,0,2,1,"TXCI_GPS  ",0,1,0,0,0,
257.456,32.308,0.724,1.055,0.995,0.715,0,2,1,"TXAD_GPS  ",0,1,0,0,0,
259.687,25.716,-0.546,2.129,0.333,0.331,0,2,1,"MTY2_GPS  ",0,1,0,0,0,
259.71,34.012,-0.363,1.186,0.615,0.417,0,2,1,"TXPD_GPS  ",0,1,0,0,0,
259.722,34.46,0.447,1.662,0.301,0.273,0,2,1,"TXCH_GPS  ",0,1,0,0,0,
257.313,38.071,-0.218,1.626,0.296,0.263,0,2,1,"P040_GPS  ",0,1,0,0,0,
259.781,35.226,0.405,2.395,0.62,0.498,0,2,1,"TXSH_GPS  ",0,1,0,0,0,
259.798,34.85,-0.028,-1.233,0.606,0.534,0,2,1,"TXWL_GPS  ",0,1,0,0,0,
257.133,30.894,0.165,0.894,1.019,0.679,0,2,1,"TXFS_GPS  ",0,1,0,0,0,
257.106,31.558,0.743,0.47,0.888,0.678,0,2,1,"TXMH_GPS  ",0,1,0,0,0,
260.032,31.761,0.577,0.541,0.94,0.738,0,2,1,"TXBI_GPS  ",0,1,0,0,0,
257.023,49.679,0.383,0.638,0.299,0.24,0,2,1,"C285_GPS  ",0,1,0,0,0,
260.089,49.886,-0.121,0.096,0.471,0.287,0,2,1,"C269_GPS  ",0,1,0,0,0,
260.095,40.306,0.546,0.722,0.993,0.885,0,2,1,"NEAP_GPS  ",0,1,0,0,0,
260.15,28.535,-0.088,1.727,0.897,0.757,0,2,1,"TXCS_GPS  ",0,1,0,0,0,
260.15,28.942,1.252,0.675,0.896,0.781,0,2,1,"TXLP_GPS  ",0,1,0,0,0,
260.173,29.201,0.011,1.174,0.53,0.665,0,2,1,"TXUV_GPS  ",0,1,0,0,0,
256.891,31.843,0.336,1.316,0.978,0.723,0,2,1,"TXKM_GPS  ",0,1,0,0,0,
260.199,30.479,-0.321,1.753,0.308,0.301,0,2,1,"JCT1_GPS  ",0,1,0,0,0,
260.223,30.5,-0.73,1.464,1.589,0.736,0,2,1,"TXJN_GPS  ",0,1,0,0,0,
256.846,36.448,-0.374,1.766,0.268,0.232,0,2,1,"P039_GPS  ",0,1,0,0,0,
260.239,29.739,0.898,1.342,1.132,0.747,0,2,1,"TXLE_GPS  ",0,1,0,0,0,
260.243,32.503,0.14,1.769,0.32,0.275,0,2,1,"TXAB_GPS  ",0,1,0,0,0,
260.258,30.493,0.356,0.713,1.112,0.853,0,2,1,"LCJU_GPS  ",0,1,0,0,0,
256.778,40.172,-0.106,1.435,0.254,0.254,0,2,1,"P044_GPS  ",0,1,0,0,0,
256.726,46.905,-0.582,1.051,0.573,0.706,0,2,1,"MDR0_GPS  ",0,1,0,0,0,
